ACTIVITY,CLUSTER,PLANNED,STATEMENT,COUNT
PREP REFILL OUTREACHES,MASAKA,1,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
PREP REFILL OUTREACHES,MPIGI,2,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
PREP REFILL OUTREACHES,KALANGALA,3,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
PREP REFILL OUTREACHES,WAKISO,4,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
PREP REFILL OUTREACHES,LYANTONDE,5,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
PREP REFILL OUTREACHES,KYOTERA,6,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
ASSISTED PARTNER NOTIFICATION (APN),MASAKA,7,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
ASSISTED PARTNER NOTIFICATION (APN),MPIGI,8,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
ASSISTED PARTNER NOTIFICATION (APN),KALANGALA,9,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
ASSISTED PARTNER NOTIFICATION (APN),WAKISO,10,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
ASSISTED PARTNER NOTIFICATION (APN),LYANTONDE,11,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
ASSISTED PARTNER NOTIFICATION (APN),KYOTERA,12,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
INDEX BIOLOGICAL FOLLOW UPS,MASAKA,13,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
INDEX BIOLOGICAL FOLLOW UPS,MPIGI,14,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
INDEX BIOLOGICAL FOLLOW UPS,KALANGALA,15,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
INDEX BIOLOGICAL FOLLOW UPS,WAKISO,16,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
INDEX BIOLOGICAL FOLLOW UPS,LYANTONDE,17,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
INDEX BIOLOGICAL FOLLOW UPS,KYOTERA,18,COUNT EACH HOUSEHOLD VISITED AS ONE,No. of Households visited
KP TARGETED OUTREACHES,MASAKA,19,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
KP TARGETED OUTREACHES,MPIGI,20,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
KP TARGETED OUTREACHES,KALANGALA,21,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
KP TARGETED OUTREACHES,WAKISO,22,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
KP TARGETED OUTREACHES,LYANTONDE,23,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
KP TARGETED OUTREACHES,KYOTERA,24,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
TARGETED OUTREACHES FOR MEN & ABYM,MASAKA,25,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
TARGETED OUTREACHES FOR MEN & ABYM,MPIGI,26,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
TARGETED OUTREACHES FOR MEN & ABYM,KALANGALA,27,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
TARGETED OUTREACHES FOR MEN & ABYM,WAKISO,28,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
TARGETED OUTREACHES FOR MEN & ABYM,LYANTONDE,29,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
TARGETED OUTREACHES FOR MEN & ABYM,KYOTERA,30,COUNT EACH OUTREACH AS ONE,No. of Outreaches done
HIVST KITS DISTRIBUTION/ EPOA Navigators,MASAKA,31,COUNT EACH VISIT DONE AS ONE,No. of visits done
HIVST KITS DISTRIBUTION/ EPOA Navigators,MPIGI,32,COUNT EACH VISIT DONE AS ONE,No. of visits done
HIVST KITS DISTRIBUTION/ EPOA Navigators,KALANGALA,33,COUNT EACH VISIT DONE AS ONE,No. of visits done
HIVST KITS DISTRIBUTION/ EPOA Navigators,WAKISO,34,COUNT EACH VISIT DONE AS ONE,No. of visits done
HIVST KITS DISTRIBUTION/ EPOA Navigators,LYANTONDE,35,COUNT EACH VISIT DONE AS ONE,No. of visits done
HIVST KITS DISTRIBUTION/ EPOA Navigators,KYOTERA,36,COUNT EACH VISIT DONE AS ONE,No. of visits done
